FantasyPlayerKey,PlayerID,Name,Team,Position,AverageDraftPosition,AverageDraftPositionPPR,ByeWeek,LastSeasonFantasyPoints,ProjectedFantasyPoints,AuctionValue,AuctionValuePPR
8846,8846,Kevin Ogletree,,WR,659.3,658.2,,5.6,,1,1
14783,14783,James Develin,NE,RB,661.5,660.4,9,5.4,,1,1
4640,4640,Reggie Bush,,RB,662.7,661.5,,5.3,0,1,1
12944,12944,Jeff Maehl,,WR,663.8,662.7,,5.2,,1,1
15314,15314,Michael Hill,,RB,663.8,662.7,,5.2,,1,1
15905,15905,Patrick Edwards,,WR,663.8,662.7,,5.2,,1,1
11517,11517,Preston Parker,,WR,667.2,666.1,,4.8,,1,1
13232,13232,Alex Green,,RB,667.2,666.1,,4.8,,1,1
16734,16734,Kevin Smith,SEA,WR,667.2,666.1,5,4.8,,1,1
15089,15089,Michael Cox,,RB,670.6,669.4,,4.7,,1,1
15594,15594,Eric Page,,WR,670.6,669.4,,4.7,,1,1
12137,12137,Charlie Whitehurst,,QB,672.8,671.7,,4.6,,1,1
12547,12547,Mike Caussin,,TE,672.8,671.7,,4.6,,1,1
13394,13394,Greg Salas,BUF,WR,672.8,671.7,10,4.6,45.5,1,0
13693,13693,Terrelle Pryor,CLE,WR,672.8,671.7,13,4.6,,1,1
14777,14777,Toney Clemons,,WR,672.8,671.7,,4.6,,1,1
13273,13273,Allen Reisner,,TE,678.5,677.3,,4.5,,1,1
16694,16694,Paul Richardson,SEA,WR,678.5,677.3,5,4.5,,1,1
16139,16139,Connor Shaw,CLE,QB,680.7,679.6,13,4.5,,1,1
13142,13142,Jerrel Jernigan,,WR,681.8,680.7,,4.3,,1,1
16954,16954,Nick O'Leary,BUF,TE,683,681.8,10,4.2,,1,1
3725,3725,Greg Jones,,RB,684.1,683,,4.1,,1,1
11755,11755,Seneca Wallace,,QB,685.2,684.1,,4,,1,1
14702,14702,Jeff Demps,,RB,686.3,685.2,,3.9,,1,1
15019,15019,Ace Sanders,,WR,686.3,685.2,,3.9,,1,1
11100,11100,Dorin Dickerson,,TE,688.6,687.5,,3.8,,1,1
13418,13418,Anthony Sherman,KC,RB,688.6,687.5,5,3.8,14.7,1,1
14564,14564,Dominique Davis,KC,QB,690.9,689.7,5,3.8,,1,1
13406,13406,Rob Housler,CHI,TE,692,690.9,9,3.7,40,1,1
16210,16210,Jay Prosch,HOU,RB,692,690.9,9,3.7,,1,1
11969,11969,Darrel Young,,RB,694.2,693.1,,3.6,,1,1
14097,14097,Juron Criner,,WR,694.2,693.1,,3.6,,1,1
14784,14784,Collin Mooney,,RB,694.2,693.1,,3.6,,1,1
15631,15631,Derrick Coleman,,RB,694.2,693.1,,3.6,,1,1
11049,11049,Carlton Mitchell,,WR,698.7,697.6,,3.5,,1,1
11400,11400,Andrew Quarless,,TE,698.7,697.6,,3.5,,1,1
15034,15034,Lamaar Thomas,,WR,698.7,697.6,,3.5,,1,1
13981,13981,DeVier Posey,DEN,WR,702.1,701,11,3.4,,1,1
14787,14787,Jeremy Ross,NYJ,WR,702.1,701,11,3.4,,1,1
7591,7591,Alfonso Smith,,RB,702.1,701,,3.4,,1,1
14303,14303,Bradie Ewing,,RB,705.5,704.4,,3.3,,1,1
12273,12273,Michael Robinson,,RB,706.6,705.5,,3,,1,1
15328,15328,Skye Dawson,,WR,706.6,705.5,,3,,1,1
15235,15235,BJ Daniels,NYG,QB,708.9,707.8,8,3,,1,1
14764,14764,Cory Harkey,LA,TE,710,708.9,8,2.9,43.2,1,0
15129,15129,Michael Williams,NE,TE,710,708.9,9,2.9,,1,1
14203,14203,Ryan Broyles,,WR,712.3,711.1,,2.8,,1,1
17272,17272,Andrew Turzilli,TEN,WR,712.3,711.1,13,2.8,,1,1
3312,3312,LeRon McClain,,RB,712.3,711.1,,2.8,,1,1
13763,13763,TJ Graham,PHI,WR,715.6,714.5,4,2.7,,1,1
13881,13881,Taylor Thompson,,TE,715.6,714.5,,2.7,,1,1
14865,14865,Marquise Goodwin,BUF,WR,715.6,714.5,10,2.7,,1,1
12569,12569,Dezmon Briscoe,,WR,719,717.9,,2.6,,1,1
14275,14275,Jarrett Boykin,BUF,WR,719,717.9,10,2.6,,1,1
13078,13078,Vincent Brown,NO,WR,721.3,720.2,5,2.5,,1,1
