StadiumDetails/StadiumID,StadiumDetails/Name,StadiumDetails/City,StadiumDetails/State,StadiumDetails/Country,StadiumDetails/Capacity,StadiumDetails/PlayingSurface,StadiumDetails/GeoLat,StadiumDetails/GeoLong,GameKey,SeasonType,Season,Week,Date,AwayTeam,HomeTeam,Channel,PointSpread,OverUnder,StadiumID,GeoLat,GeoLong,ForecastTempLow,ForecastTempHigh,ForecastDescription,ForecastWindChill,ForecastWindSpeed,AwayTeamMoneyLine,HomeTeamMoneyLine,StadiumDetails
15,Arrowhead Stadium,Kansas City,MO,USA,76416,Grass,39.049002,-94.483864,201610316,1,2016,3,2016-09-25T16:25:00,NYJ,KC,,,,15,,,,,,,,,,
9,Lucas Oil Stadium,Indianapolis,IN,USA,67000,Dome,39.760056,-86.163806,201610314,1,2016,3,2016-09-25T16:25:00,SD,IND,,,,9,,,,,,,,,,
18,Lincoln Financial Field,Philadelphia,PA,USA,68532,Grass,39.900771,-75.167469,201610326,1,2016,3,2016-09-25T16:25:00,PIT,PHI,,,,18,,,,,,,,,,
17,AT&T Stadium,Arlington,TX,USA,80000,Dome,32.747778,-97.092778,201610309,1,2016,3,2016-09-25T20:30:00,CHI,DAL,,,,17,,,,,,,,,,
27,Mercedes-Benz Superdome,New Orleans,LA,USA,73208,Dome,29.950931,-90.081364,201610322,1,2016,3,2016-09-26T20:30:00,ATL,NO,,,,27,,,,,,,,,,
,,,,,,,,,,1,2016,4,,BYE,GB,,,,,,,,,,,1,,,
,,,,,,,,,,1,2016,4,,BYE,PHI,,,,,,,,,,,1,,,
5,Paul Brown Stadium,Cincinnati,OH,USA,65535,Artificial,39.095309,-84.516003,201610407,1,2016,4,2016-09-29T20:25:00,MIA,CIN,,,,5,,,,,,,,,,
10,EverBank Field,Jacksonville,FL,USA,67246,Artificial,30.323813,-81.637199,201610415,1,2016,4,2016-10-02T09:30:00,IND,JAX,,,,10,,,,,,,,,,
11,Reliant Stadium,Houston,TX,USA,71054,Dome,29.684543,-95.410932,201610413,1,2016,4,2016-10-02T13:00:00,TEN,HOU,,,,11,,,,,,,,,,
19,FedEx Field,Landover,MD,USA,85000,Grass,38.907652,-76.864479,201610435,1,2016,4,2016-10-02T13:00:00,CLE,WAS,,,,19,,,,,,,,,,
3,MetLife Stadium,East Rutherford,NJ,USA,82500,Artificial,40.813611,-74.074444,201610424,1,2016,4,2016-10-02T13:00:00,SEA,NYJ,,,,3,,,,,,,,,,
4,Gillette Stadium,Foxborough,MA,USA,68756,Grass,42.090866,-71.264244,201610421,1,2016,4,2016-10-02T13:00:00,BUF,NE,,,,4,,,,,,,,,,
25,Georgia Dome,Atlanta,GA,USA,74228,Dome,33.757614,-84.400972,201610402,1,2016,4,2016-10-02T13:00:00,CAR,ATL,,,,25,,,,,,,,,,
7,M&T Bank Stadium,Baltimore,MD,USA,71008,Artificial,39.277985,-76.622788,201610403,1,2016,4,2016-10-02T13:00:00,OAK,BAL,,,,7,,,,,,,,,,
20,Soldier Field,Chicago,IL,USA,61500,Grass,41.86232,-87.616699,201610406,1,2016,4,2016-10-02T13:00:00,DET,CHI,,,,20,,,,,,,,,,
24,Raymond James Stadium,Tampa Bay,FL,USA,65890,Grass,27.975967,-82.50335,201610433,1,2016,4,2016-10-02T16:05:00,DEN,TB,,,,24,,,,,,,,,,
29,University of Phoenix Stadium,Glendale,AZ,USA,63400,Dome,33.527558,-112.263036,201610401,1,2016,4,2016-10-02T16:25:00,LA,ARI,,,,29,,,,,,,,,,
14,Qualcomm Stadium,San Diego,CA,USA,70561,Grass,32.783188,-117.119439,201610429,1,2016,4,2016-10-02T16:25:00,NO,SD,,,,14,,,,,,,,,,
37,Levi's Stadium,Santa Clara,CA,USA,68500,,37.404108,-121.970274,201610431,1,2016,4,2016-10-02T16:25:00,DAL,SF,,,,37,,,,,,,,,,
8,Heinz Field,Pittsburgh,PA,USA,65050,Grass,40.446751,-80.015707,201610428,1,2016,4,2016-10-02T20:30:00,KC,PIT,,,,8,,,,,,,,,,
36,TCF Bank Stadium,Minneapolis,MN,USA,50805,,44.976,-93.225,201610420,1,2016,4,2016-10-03T20:30:00,NYG,MIN,,,,36,,,,,,,,,,
,,,,,,,,,,1,2016,5,,BYE,JAX,,,,,,,,,,,1,,,
,,,,,,,,,,1,2016,5,,BYE,KC,,,,,,,,,,,1,,,
,,,,,,,,,,1,2016,5,,BYE,NO,,,,,,,,,,,1,,,
,,,,,,,,,,1,2016,5,,BYE,SEA,,,,,,,,,,,1,,,
37,Levi's Stadium,Santa Clara,CA,USA,68500,,37.404108,-121.970274,201610531,1,2016,5,2016-10-06T20:25:00,ARI,SF,,,,37,,,,,,,,,,
6,FirstEnergy Stadium,Cleveland,OH,USA,71516,Artificial,41.505885,-81.699458,201610508,1,2016,5,2016-10-09T13:00:00,NE,CLE,,,,6,,,,,,,,,,
21,Ford Field,Detroit,MI,USA,65000,Dome,42.340021,-83.045777,201610511,1,2016,5,2016-10-09T13:00:00,PHI,DET,,,,21,,,,,,,,,,
9,Lucas Oil Stadium,Indianapolis,IN,USA,67000,Dome,39.760056,-86.163806,201610514,1,2016,5,2016-10-09T13:00:00,CHI,IND,,,,9,,,,,,,,,,
2,Sun Life Stadium,Miami Gardens,FL,USA,76100,Grass,25.95774,-80.238781,201610519,1,2016,5,2016-10-09T13:00:00,TEN,MIA,,,,2,,,,,,,,,,
7,M&T Bank Stadium,Baltimore,MD,USA,71008,Artificial,39.277985,-76.622788,201610503,1,2016,5,2016-10-09T13:00:00,WAS,BAL,,,,7,,,,,,,,,,
36,TCF Bank Stadium,Minneapolis,MN,USA,50805,,44.976,-93.225,201610520,1,2016,5,2016-10-09T13:00:00,HOU,MIN,,,,36,,,,,,,,,,
8,Heinz Field,Pittsburgh,PA,USA,65050,Grass,40.446751,-80.015707,201610528,1,2016,5,2016-10-09T13:00:00,NYJ,PIT,,,,8,,,,,,,,,,
13,Sports Authority Field at Mile High,Denver,CO,USA,76125,Grass,39.743936,-105.020097,201610510,1,2016,5,2016-10-09T16:05:00,ATL,DEN,,,,13,,,,,,,,,,
17,AT&T Stadium,Arlington,TX,USA,80000,Dome,32.747778,-97.092778,201610509,1,2016,5,2016-10-09T16:25:00,CIN,DAL,,,,17,,,,,,,,,,
38,Los Angeles Memorial Coliseum,Los Angeles,CA,USA,93607,Grass,34.014167,-118.287778,201610532,1,2016,5,2016-10-09T16:25:00,BUF,LA,,,,38,,,,,,,,,,
16,O.co Coliseum,Oakland,CA,USA,53200,Grass,37.751613,-122.200509,201610525,1,2016,5,2016-10-09T16:25:00,SD,OAK,,,,16,,,,,,,,,,
22,Lambeau Field,Green Bay,WI,USA,80750,Grass,44.501389,-88.061944,201610512,1,2016,5,2016-10-09T20:30:00,NYG,GB,,,,22,,,,,,,,,,
26,Bank of America Stadium,Charlotte,NC,USA,73778,Grass,35.225808,-80.852861,201610505,1,2016,5,2016-10-10T20:30:00,TB,CAR,,,,26,,,,,,,,,,
,,,,,,,,,,1,2016,6,,BYE,MIN,,,,,,,,,,,1,,,
,,,,,,,,,,1,2016,6,,BYE,TB,,,,,,,,,,,1,,,
14,Qualcomm Stadium,San Diego,CA,USA,70561,Grass,32.783188,-117.119439,201610629,1,2016,6,2016-10-13T20:25:00,DEN,SD,,,,14,,,,,,,,,,
1,Ralph Wilson Stadium,Orchard Park,NY,USA,73079,Artificial,42.773758,-78.786837,201610604,1,2016,6,2016-10-16T13:00:00,SF,BUF,,,,1,,,,,,,,,,
19,FedEx Field,Landover,MD,USA,85000,Grass,38.907652,-76.864479,201610635,1,2016,6,2016-10-16T13:00:00,PHI,WAS,,,,19,,,,,,,,,,
12,LP Field,Nashville,TN,USA,6914,Grass,36.166441,-86.771253,201610634,1,2016,6,2016-10-16T13:00:00,CLE,TEN,,,,12,,,,,,,,,,
3,MetLife Stadium,East Rutherford,NJ,USA,82500,Artificial,40.813611,-74.074444,201610623,1,2016,6,2016-10-16T13:00:00,BAL,NYG,,,,3,,,,,,,,,,
27,Mercedes-Benz Superdome,New Orleans,LA,USA,73208,Dome,29.950931,-90.081364,201610622,1,2016,6,2016-10-16T13:00:00,CAR,NO,,,,27,,,,,,,,,,
20,Soldier Field,Chicago,IL,USA,61500,Grass,41.86232,-87.616699,201610606,1,2016,6,2016-10-16T13:00:00,JAX,CHI,,,,20,,,,,,,,,,
21,Ford Field,Detroit,MI,USA,65000,Dome,42.340021,-83.045777,201610611,1,2016,6,2016-10-16T13:00:00,LA,DET,,,,21,,,,,,,,,,
2,Sun Life Stadium,Miami Gardens,FL,USA,76100,Grass,25.95774,-80.238781,201610619,1,2016,6,2016-10-16T13:00:00,PIT,MIA,,,,2,,,,,,,,,,
